Name,State,Level,Body Type,Body,Office,District / Area,Branch,Chamber,Party,Type,Inc Running,Incumbent,Inc. Party,Primary Date,Primary Result,General Date,General Result,General Vote %,Gender,Ethnicity,Website,Notes,Year
Anh Vo,WA,Local,City Council,Sammamish Plateau Water & Sewer District,Commissioner,Position 3,Legis,,,Open Seat,No,Nav Otal,,8/3/2021,Won,11/2/2021,Lost,20.80%,F,,,,2021
Chiho Lai,WA,Local,City Council,East Bellevue Community Municipal Corporation,Councilmember,Position 5,Legis,,D,Open Seat,No,Ross Gooding,,8/3/2021,Won,11/2/2021,Won,56.30%,M,,https://www.votechiho.com,,2021
Conrad Lee,WA,Local,City Council,Bellevue City Council,Councilmember,Position 2,Legis,,R,Incumbent,,,,8/3/2021,Won,11/2/2021,Won,54.90%,M,Chinese,,,2021
Dexter Borbe,WA,Local,City Council,Bellevue City Council,Councilmember,Position 2,Legis,,D,Challenger,Yes,Conrad Lee,R,8/3/2021,Won,11/2/2021,Lost,45.00%,M,Filipino,,,2021
Faye Yang,WA,Local,School District,Bellevue School District No. 405,Boardmember,District 3,Legis,,,Open Seat,No,Erica Melief,,8/3/2021,Won,11/2/2021,Lost,31.70%,F,Chinese,yang4bsd.com,,2021
Frank Irigon,WA,Local,City Council,Newcastle City Council,Councilmember,Position 9,Legis,,,Open Seat,No,,,8/3/2021,Won,11/2/2021,Lost,49.80%,M,Filipino,,,2021
Han Tran,WA,Local,City Council,Bothell City Council,Councilmember,Position 1,Legis,,D,Open Seat,No,,,8/3/2021,Won,11/2/2021,Lost,47.70%,F,Vietnamese,www.Han4Bothell.com,,2021
Hassan Dhananjaya,WA,Local,City Council,East Bellevue Community Municipal Corporation,Councilmember,Position 3,Legis,,,Open Seat,,,,8/3/2021,Won,11/2/2021,Won,97.90%,M,Indian,,,2021
Hoang Tran,WA,Local,City Council,Federal Way City Council,Councilmember,Position 4,Legis,,,Incumbent,,,,8/3/2021,Won,11/2/2021,Won,50.00%,M,Vietnamese,Re-Electhoangtran.com,,2021
Irene Shin,VA,State,State House,Virginia House of Delegates,Delegate,VA-86,Legis,,D,Open Seat,No,,,6/8/2021,Won,11/2/2021,Won,65.40%,F,Korean,https://www.ireneforva.com/,,
Jane Aras,WA,Local,School District,Bellevue School District No. 405,Boardmember,District 5,Legis,,D,Open Seat,No,Francine Weist,,8/3/2021,Won,11/2/2021,Won,63.00%,F,,https://www.janearas.com,,2021
Jesse Tam,WA,Local,City Council,Newcastle City Council,Councilmember,Position 7,Legis,,,Open Seat,No,Tom Magers,,8/3/2021,Won,11/2/2021,Lost,44.00%,M,,https://www.votejessetam.com/endorsements,,2021
Joe Van,WA,Local,School District,Highline School District No. 401,Boardmember,District 3,Legis,,,Incumbent,,,,8/3/2021,Won,11/2/2021,Won,83.10%,M,,,,2021
Joyce Shui,WA,Local,School District,Bellevue School District No. 405,Boardmember,District 3,Legis,,D,Open Seat,No,Erica Melief,,8/3/2021,Won,11/2/2021,Won,67.90%,F,,https://joyceforbsdboard.weebly.com,https://results.vote.wa.gov/results/20211102/king/,2021
Kim Muramoto,WA,Local,City Council,Clyde Hill City Council,Councilmember,Position 3,Legis,,,Incumbent,,,,8/3/2021,Won,11/2/2021,Won,,M,Japanese,https://www.muromoto.org,,2021
Leah Choi,WA,Local,School District,Lake Washington School District No. 414,Boardmember,District 3,Legis,,D,Open Seat,No,Cassandra Sage,,8/3/2021,Won,11/2/2021,Won,55.20%,F,,https://www.vote4leah.com,,2021
Leandra Craft,WA,Local,City Council,Federal Way City Council,Councilmember,Position 5,Legis,,D,Incumbent,,,,8/3/2021,Won,11/2/2021,Lost,49.60%,F,,https://www.leandracraft.com,,2021
Mike Curry,WA,Local,City Council,Mercer Island City Council,Councilmember,Position 4,Legis,,,Challenger,Yes,Lisa Anderl,,8/3/2021,Won,11/2/2021,Lost,45.80%,M,,,,2021
Renae Seam,WA,Local,City Council,Federal Way City Council,Councilmember,Position 6,Legis,,D,Challenger,Yes,Martin A. Moore,,8/3/2021,Won,11/2/2021,Lost,48.00%,F,,https://www.electrenaeseam.com,,2021
Russell Joe,WA,Local,City Council,Issaquah City Council,Councilmember,Position 5,Legis,,,Open Seat,No,Stacy Goodman,,8/3/2021,Won,11/2/2021,Won,62.20%,M,Japanese,,,2021
Satwinder Kaur,WA,Local,City Council,Kent City Council,Councilmember,Position 2,Legis,,D,,,,,8/3/2021,Won,11/2/2021,Won,97.80%,M,,https://www.electsatwinder.com/about-satwinder,,2021
Tracy Furutani,WA,Local,City Council,Lake Forest Park City Council,Councilmember,Position 5,Legis,,,Open Seat,No,Mark Phillips,,8/3/2021,Won,11/2/2021,Won,56.40%,M,Japanese,tracyforlfp5.com,,2021
Tyann Nguyen,WA,Local,School District,Shoreline School District No. 412,Boardmember,District 2,Legis,,,Challenger,Yes,Emily Williams,,8/3/2021,Won,11/2/2021,Lost,35.20%,F,Vietnamese,,,2021
Vishal Misri,WA,Local,School District,Lake Washington School District No. 414,Boardmember,District 4,Legis,,,Open Seat,No,Mark Stuart,,8/3/2021,Won,11/2/2021,Lost,40.00%,M,,https://electvishal.com,,2021
Vivian Song Maritz,WA,Local,School District,Seattle School District No. 4,Boardmember,District 4,Legis,,D,Open Seat,No,Erin Dury,,8/3/2021,Won,11/2/2021,Won,72.00%,F,Taiwanese,https://vivian.school,,2021
Janani Ramachandran,CA,State,California State Assembly,State Assembly,Assemblymember ,District 18,Legis,,D,Open Seat,No,Rob Bonta,D,6/29/2021,Won,8/31/2021,Lost,43.10%,F,Indian,https://jananiforca.com/,,
Marpheen Chann,ME,Local,,Portland Charter Commission,District Commissioner,At-Large,,,,Open Seat,?,,,6/8/2021,Won,,Won,,M,Cambodian,www.chann4charter.com,,2021
Vin Gopal,NJ,State,State Senate,New Jersey State Senate,State Senator,District 11,Legis,,D,Incumbent,Yes,,,6/8/2021,Unopposed,11/2/2021,Won,51.90%,M,Indian,,First Indian American elected to NJ Senate,
Badrun Khan,NY,Local,City Council,New York City Council,Councilmember,District 26,Legis,,D,Open Seat,No,Jimmy Van Bramer,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Bangladeshi ,https://www.badrunkhan.com/,,2021
Deepti Sharma,NY,Local,City Council,New York City Council,Councilmember,District 24,Legis,,D,Open Seat,No,Rory Lancman,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Indian,https://deeptisharma.com/,,2021
Dilip Nath,NY,Local,City Council,New York City Council,Councilmember,District 24,Legis,,D,Open Seat,No,Rory Lancman,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Bangladeshi,https://www.facebook.com/dilipnathnyc/about/,,2021
Donghui Zang,NY,Local,City Council,New York City Council,Councilmember,District 29,Legis,,D,Open Seat,No,Karen Koslowitz,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Chinese,https://www.facebook.com/Donghui-Zang-for-City-Council-100462605180539/,,2021
Edwin Wong,NY,Local,City Council,New York City Council,Councilmember,District 29,Legis,,D,Open Seat,No,Karen Koslowitz,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Chinese,https://edwinwong4all.com/,,2021
Fatima Baryab,NY,Local,City Council,New York City Council,Councilmember,District 25,Legis,,D,Open Seat,No,Danny Dromm,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Pakistani,https://twitter.com/fatimaforny,,2021
Gigi Li,NY,Local,City Council,New York City Council,Councilmember,District 1,Legis,,D,Open Seat,No,Margaret Chin,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Hong Kong,https://www.gigili.nyc/,,2021
Hailing Chen,NY,Local,City Council,New York City Council,Councilmember,District 20,Legis,,D,Open Seat,No,Peter Koo,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Chinese,https://www.hailingchen.nyc/,,2021
"Heajin ""Hailie"" Kim",NY,Local,City Council,New York City Council,Councilmember,District 26,Legis,,D,Open Seat,No,Jimmy Van Bramer,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Korean,https://hailiekimforcitycouncil.com/,,2021
Helal Sheikh,NY,Local,City Council,New York City Council,Councilmember,District 32,Legis,,D,Open Seat,No,Erich Ulrich,R,6/22/2021,Lost,11/3/2021,Not in General,,M,Bangladeshi ,https://www.helalsheikh.com/,,2021
Jaslin Kaur,NY,Local,City Council,New York City Council,Councilmember,District 23,Legis,,D,Open Seat,No,Barry Grodenchik,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Punjabi,http://jaslinkaur.nyc/,,2021
Jenny Low,NY,Local,City Council,New York City Council,Councilmember,District 1,Legis,,D,Open Seat,No,Margaret Chin,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Chinese,https://www.jennylow.nyc/,,2021
John Choe,NY,Local,City Council,New York City Council,Councilmember,District 20,Legis,,D,Open Seat,No,Peter Koo,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Korean,http://johnchoe.nyc/,,2021
Mamnun Haq,NY,Local,City Council,New York City Council,Councilmember,District 39,Legis,,D,Open Seat,No,Brad Lander,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Bangladeshi ,https://www.mamnunforcouncil.com/meet-mamnun,,2021
Mirza M. Rashid,NY,Local,City Council,New York City Council,Councilmember,District 18,Legis,,D,Open Seat,No,Rubén Díaz Sr.,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Bangladeshi,https://www.nabaraj2021.com/,,2021
Misba Abdin,NY,Local,City Council,New York City Council,Councilmember,District 37,Legis,,D,Open Seat,No,Rafael Espinal ,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Bangladeshi,https://www.friendsofmisbaabdin.com/,,2021
Mohammed N Mujumder,NY,Local,City Council,New York City Council,Councilmember,District 18,Legis,,D,Open Seat,No,Rubén Díaz Sr.,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Bangladeshi,https://www.facebook.com/mohammed.mujumder,,2021
Mohammed S. Uddin,NY,Local,City Council,New York City Council,Councilmember,District 24,Legis,,D,Open Seat,No,Rory Lancman,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Bangladeshi,https://www.mohammeduddin.com/,,2021
Moumita Ahmed ,NY,Local,City Council,New York City Council,Councilmember,District 24,Legis,,D,Open Seat,No,Rory Lancman,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Bangladeshi,https://secure.actblue.com/donate/moumita2021,,2021
Neeta Jain,NY,Local,City Council,New York City Council,Councilmember,District 24,Legis,,D,Open Seat,No,Rory Lancman,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Indian,https://www.facebook.com/neetajainfornewyork/,,2021
Neng Wang,NY,Local,City Council,New York City Council,Councilmember,District 20,Legis,,D,Open Seat,No,Peter Koo,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Taiwanese,https://www.wangforflushing.com/about-wang/,,2021
Richard Lee,NY,Local,City Council,New York City Council,Councilmember,District 19,Legis,,D,Open Seat,No,Paul Vallone,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Korean,https://richardleeforcitycouncil.com/,,2021
Vivian Song Maritz (This should be Susan Lee),NY,Local,City Council,New York City Council,Councilmember,District 1,Legis,,D,Open Seat,No,Margaret Chin,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Hong Kong,https://www.susanleenyc.com/,https://nypost.com/2021/03/25/city-council-candidate-susan-lee-pushed-down-subway-stairs-in-attack/,2021
Tricia Shimamura,NY,Local,City Council,New York City Council,Councilmember,District 5,Legis,,D,Open Seat,No,Ben Kallos,D,6/22/2021,Lost,11/3/2021,Not in General,,F,Japanese and Puerto Rican,https://triciaforny.nyc/,,2021
Yu Lin,NY,Local,City Council,New York City Council,Councilmember,District 38,Legis,,D,Open Seat,No,Carlos Menchaca,D,6/22/2021,Lost,11/3/2021,Not in General,,M,Chinese,https://www.voteyulin2021.com/,,2021
Alex Pan,NY,Local,Comptroller,New York City Comptroller,Comptroller,,Legis,,D,Open Seat,No,Scott Stringer,D,6/22/2021,Lost,11/2/2021,Not in General,,M,"Taiwanese,Chinese",https://www.panfornyc.com/,youngest person to every make city-wide ballot (18),2021
Amit Singh Bagga,NY,Local,City Council,New York City Council,Councilmember,District 26 #2,Legis,,D,Open Seat,No,Jimmy Van Bramer,D,6/22/2021,Lost,11/2/2021,Not in General,,M,,https://amitforcouncil.com/,,2021
Andrew Yang,NY,Local,City Council,New York City Council,Mayor,,Legis,,D,Open Seat,No,Bill de Blasio,D,6/22/2021,Lost,11/2/2021,Not in General,,M,Chinese,https://www.yangforny.com/,,2021
Andy Yi Chen,NY,Local,City Council,New York City Council,Councilmember,District 25,Legis,,D,Open Seat,No,Danny Drom,D,6/22/2021,Lost,11/2/2021,Not in General,,M,Chinese,https://yichenfornewyork.com/,,2021
April Somboun,NY,Local,City Council,New York City Council,Councilmember,District 33,Legis,,D,Open Seat,No,Stephen Levin,D,6/22/2021,Lost,11/2/2021,Not in General,,F,,https://www.aprilsomboun.com/,,2021
Carolyn Tran,NY,Local,City Council,New York City Council,Councilmember,District 25,Legis,,D,Open Seat,No,Danny Drom,D,6/22/2021,Lost,11/2/2021,Not in General,,F,Vietnamese,https://www.carolyntran.us/,,2021
Dao Yin,NY,Local,City Council,New York City Council,Councilmember,District 20,Legis,,D,Open Seat,No,Peter Koo,D,6/22/2021,Lost,11/2/2021,Not in General,,M,Chinese,https://www.daoyin.nyc/,,2021
Ellen Young,NY,Local,City Council,New York City Council,Councilmember,District 20,Legis,,D,Open Seat,No,Peter Koo,D,6/22/2021,Lost,11/2/2021,Not in General,,F,Taiwanese,https://www.ellenforny.com/,first Asian woman elected to the New York State Legislature,2021
Faris Zwirahn,NJ,State,State Assembly,New Jersey Assembly,Assemblymember,District 16,Legis,,D,Open Seat,No, Andrew Zwicker,D,6/8/2021,Lost,11/2/2021,Not in General,,M,Syrian,https://www.zwirahn.com/,,2021
Harpreet Singh Toor,NY,Local,City Council,New York City Council,Councilmember,District 23,Legis,,D,Open Seat,No,Barry Grodenchik,D,6/22/2021,Lost,11/2/2021,Not in General,,M,"Indian,Punjabi",https://www.toorforcitycouncil.com/,,2021
Japneet Singh,NY,Local,City Council,New York City Council,Councilmember,District 28,Legis,,D,Challenger,Yes,Adrienne Adams,D,6/22/2021,Lost,11/2/2021,Not in General,,M,"Indian,Punjabi",https://www.instagram.com/japneetsinghforny/?hl=en,,2021
Jeffrey Omura,NY,Local,City Council,New York City Council,Councilmember,District 6,Legis,,D,Open Seat,No,Helen Rosenthal,D,6/22/2021,Lost,11/2/2021,Not in General,,M,Japanese,https://www.jeffreyomura.com/,,2021
Jhong Kim,NY,Local,Borough President,Staten Island Borough,Borough President,,Legis,,R,Open Seat,No,James Oddo,R,6/22/2021,Lost,11/2/2021,Not in General,,M,Korean,https://twitter.com/kim_uhk?lang=en,,2021
Koshy Thomas,NY,Local,City Council,New York City Council,Councilmember,District 23,Legis,,D,Open Seat,No,Barry Grodenchik,D,6/22/2021,Lost,11/2/2021,Not in General,,M,Indian,https://electkoshythomas.com/,,2021
Marni Halasa,NY,Local,City Council,New York City Council,Councilmember,District 3,Legis,,D,Open Seat,No,Corey Johnson,D,6/22/2021,Lost,11/2/2021,Not in General,,F,Filipino,http://www.marniforcitycouncil.com/,,2021
Nabaraj KC,NY,Local,City Council,New York City Council,Councilmember,District 19,Legis,,D,Open Seat,No,Paul Vallone,D,6/22/2021,Lost,11/2/2021,Not in General,,M,,https://www.nabaraj2021.com/,Nepal,2021
Parminder Bhatti,WA,Local,County Council,Public Hospital District,Commissioner,Position 4,Legis,,,,,,,8/3/2021,Lost,11/2/2021,Not in General,,M,Indian,https://info.kingcounty.gov/kcelections/Vote/contests/candidates.aspx?cid=64125&candidateid=1589330&lang=en-US&pamphletson=true,,2021
Radhakrishna Mohan ,NY,Local,Borough President,Staten Island Borough ,Borough President,,Legis,,D,Open Seat,No,James Oddo,R,6/22/2021,Lost,11/2/2021,Not in General,,M,Indian,https://mohanforbp.com/,,2021
Reshma Patel,NY,Local,Comptroller,New York City Comptroller,Comptroller,,,,D,Open Seat,No,Scott Stringer,D,6/22/2021,Lost,11/2/2021,Not in General,,F,Indian,https://www.reshma2021.com/,,2021
Sanjeev Jindal,NY,Local,City Council,New York City Council,Councilmember,District 23,Legis,,D,Open Seat,No,Barry Grodenchik,D,6/22/2021,Lost,11/2/2021,Not in General,,M,Indian,http://sanjeevkjindal.com/,,2021
Steven Raga,NV,Local,City Council,New York City Council,Councilmember,District 26 #3,Legis,,D,Open Seat,No,Jimmy Van Bramer,D,6/22/2021,Lost,11/2/2021,Not in General,,M,Filipino,https://www.ragaforqueens.com/,,2021
Tali Farhadian Weinstein,NY,Local,District Court,County,District Attorney,Manhattan ,Judicial,,D,Open Seat,No,Cyrus Vance Jr. ,D,6/22/2021,Lost,11/2/2021,Not in General,,F,Iranian ,https://www.taliforda.com/meet-tali/,not using ranked-choice voting ,2021
Tom Hwang ,OH,Federal,U.S. House,U.S. House of Representatives,Congressman,District 15,Legis,,R,Open Seat,No,,,8/3/2021,Lost,11/2/2021,Not in General,,M,Chinese,https://www.tomforohio.com/,,2021
Winton Tran,NY,Local,City Council,New York City Council,Councilmember,District 47,Legis,,D,Open Seat,No,Mark Treyger,D,6/22/2021,Lost,11/2/2021,Not in General,,M,Vietnamese,https://www.facebook.com/wintontran4citycouncil/,,2021
Karishma Mehta,VA,State,State House,Virginia House of Delegates,Delegate,VA-49,Legis,,D,Challenger,?,Alfonso Lopez.,D,6/8/2021,Lost,,Not in General,,F,Indian,https://karishmaforvirginia.com/,,
Whitney Hu,NY,Local,City Council,New York City Council,Councilmember,District 38,Legis,,D,Open Seat,No,Carlos Menchaca,D,6/22/2021,Withdrew,11/3/2021,Not in General,,F,Chinese,https://www.hu2021.com/home/#meetwhitney,,2021
Mujib Rahman,NY,Local,City Council,New York City Council,Councilmember,District 24,Legis,,D,Open Seat,No,Rory Lancman,D,6/22/2021,n/a,11/3/2021,,,M,Bangladeshi ,https://www.qchron.com/editions/queenswide/rahman-s-conservative-bid-for-city-council/article_45b813e9-dadd-5413-86a4-9dc24537e358.html,the primary was cancelled ,2021
Suraj Jaswal,NY,Local,City Council,New York City Council,Councilmember,District 25,Legis,,D,Open Seat,No,Danny Dromm,D,6/22/2021,n/a,11/3/2021,,,M,Indian,https://www.suraj25.com,,2021
Yu-Ching Pai,NY,Local,City Council,New York City Council,Councilmember,District 20,Legis,,R,Open Seat,No,Peter Koo,D,6/22/2021,n/a,11/2/2021,,,M,Taiwanese,https://www.nycvotes.org/campaigns/yu-chingpai/contributions/new,conservative primary cancelled for this district,2021
Daud M. Panah,NJ,Local,City Council,Atlantic City City Council,Mayor,,Legis,,I,Open Seat,Yes,Marty Small Jr.,D,7/8/2021,Lost,11/2/2021,Not in General,,M,,https://www.panahformayor.com/,,2021
Hung Cao,VA,Federal,U.S. House,U.S. House of Representatives,Congressperson,District 10,Legis,Lower,R,Challenger,Yes,Jennifer Wexton,D,5/21/2022,,11/8/2022,,,M,Vietnamese,https://www.hungcaoforcongress.com/,,2022
