Name,State,Level,Body Type,Body,Office,District / Area,Branch,Chamber,Party,Type,Inc Running,Incumbent,Inc. Party,Primary Date,Primary Result,General Date,General Result,General Vote %,Gender,Ethnicity,Website,Notes,Year
Ken Russell,FL,Federal,U.S. Senate,U.S. Senate,Senator,,Legis,,D,Challenger,Yes,Marco Rubio,R,8/23/2022,,11/8/2022,,,M,Japanese,https://kenrussellforflorida.com/,,
Hoan Huynh,IL,Federal,U.S. House,U.S. House of Representatives,Congressman,IL-05,Legis,,D,Open Seat,Yes,Mike Quigley,D,,,11/8/2022,,,M,Vietnamese,https://votehoan.com/,,2022
Josina Morita ,IL,Local,County Board of Commissioners,Cook County Board,Commissioner ,District 13,Legis,,D,Open Seat,No,Larry Suffredin ,D,,,11/8/2022,,,F,"Japanese,Chinese",https://www.josinamorita.com/,https://www.friendsofjosina.com/about,2022
Mike Fong,CA,State,State Assembly,California State Assembly,Assemblymember,District 49,Legis,,D,Open Seat,No,Ed Chau,D,2/15/2022,,4/19/2022,,,M,,https://mikefong.org,,2022
Richard Pan,CA,State,State Senate,California State Senate,State Senator,District 6,Legis,Upper,D,Incumbent,Yes,Richard Pan,D,,,11/8/2022,,,M,Chinese,http://sd06.senate.ca.gov/,,2022
Victoria Virasingh,VA,Federal,U.S. House,U.S. House of Representatives,Congresswoman,District 8,Legis,,D,,Yes,Donald Sternoff Beyer Jr.,,6/21/2022,,11/8/2022,,,F,Indian,https://www.victoriaforcongress.com/?fbclid=IwAR2woyXkC2jpiMtO8b9HA3-AIHpA0MYfLNuLB7NjSHLSexF6_9hMfyHmUGM,,2022
Aditi Bussells,SC,Local,City Council,Columbia City Council,Councilmember,,Legis,,N,Open Seat,,,,,,11/2/2021,Won,53.80%,F,,,https://www.aditiforthecity.com/,2021
Aisha Chughtai,MN,Local,City Council,Minneapolis City Council,Councilmember,Ward 10,Legis,,D,Open Seat,No,,,,,11/2/2021,Won,59.90%,F,,,,
Ajmeri Hoque,OH,Local,City Council,Dublin City Council,Council Member ,Ward 1 ,Legis,,,,,,,,,11/2/2021,Lost,,F,,,,
Akriti Bhambi,MA,Local,School District,Cambridge School Committee,Boardmember,,,,D,Challenger,Yes,"Alfred Fantini, Jose Luis Rojas Villarreal, David Weinstein, Ayesha Wilson, Rachel Weinstein",D,,,11/2/2021,Won,,F,Indian,https://www.voteakriti.com/meet-akriti,,2021
Amy Lam,WA,Local,City Council,Sammamish City Council,Councilmember,Council Position 1,Legis,,,,,,,,,11/2/2021,Won,50.60%,F,,,,
Bruce Harrell,WA,Local,City Council,Seattle City Council,Mayor,,Legis,,N,Open Seat,No,Jenny Durkan,D,8/3/2021,,11/2/2021,Won,61.90%,M,Japanese,https://www.bruceforseattle.com/,mayor is technically non-partisan,2021
Coco Alinsug,MA,Local,City Council,Lynn City Council,City Councilor,Ward 3,,,D,Open Seat,No,Darren P. Cyr,D,9/14/2021,,11/2/2021,Won,65.00%,M,Filipino,https://www.cocoalinsug.com/,,2021
Joe Nguyen,WA,Local,County Council,King County Council,County Executive,,,,D,Challenger,Yes,Dow Constantine,D,8/3/2021,,11/2/2021,Lost,42.50%,M,Vietnamese,https://meetjoenguyen.com/,,2021
Kate Miya,CO,Local,City Council,Thornton City Council ,Councilmember,Ward 3,Legis,,,,,,,,,11/2/2021,Lost,,F,,https://www.kateforthornton.com/,,
Kathy Tran,VA,State,State House,Virginia House Of Delegates,House Member,District 42,Legis,,D,Incumbent,Yes,,,,,11/2/2021,Won,60.00%,F,,,,
Kim Khanh Van,WA,Local,City Council,County ,Councilmember,King County - District 9 ,Legis,,D,Challenger,Yes,Reagan Dunn,R,8/3/2021,,11/2/2021,Lost,36.10%,F,Vietnamese,https://www.electkimkhanhvan.com/about/,,2021
Michelle Wu,MA,Local,County Council,Boston City Council,Mayor,,Legis,,N,?,?,Martin J. Walsh,N,11/3/2021,,11/2/2021,Won,61.00%,F,,,,
Nick Kor,MN,Local,City Council,Minneapolis City Council,Councilmember,Ward 7 ,,,D,Challenger,No,Lisa Goodman,D,,,11/2/2021,Lost,26.50%,M,Filipino,https://www.nickkor.com/,,2021
Pratima Lakhotia,WA,Local,City Council,Newcastle City Council,Councilmember,Position 5,Legis,,,Open Seat,No,Dave Mitchell,,8/3/2021,,11/2/2021,Won,51.00%,F,,https://www.pdc.wa.gov/browse/campaign-explorer/candidate?filer_id=LAKHP--059&election_year=2021,,2021
Ravinder Bhalla,NJ,Local,City Council,Hoboken City Council,Mayor,,Legis,,N,Incumbent,Yes,Ravinder Bhalla,N,,Unopposed,11/2/2021,Won,,M,,,,
Suhas Subramanyam ,VA,State,State House,Virginia House Of Delegates,House Member,District 87,Legis,,D,Incumbent,Yes,,,,,11/2/2021,Won,58.40%,M,,,,
Toshiko Hasegawa,WA,Local,Board Commission,Seattle Port,Port Commissioner,Position 4,Legis,,N,Challenger,Yes,Peter Steinbrueck,N,8/3/2021,,11/2/2021,Won,53.40%,F,,,,
Will Chen,WA,Local,City Council,Edmonds City Council,Councilmember,Position 2,Legis,,,Open Seat,No,Luke Distelhorst,,8/3/2021,,11/2/2021,Won,50.40%,M,Chinese,https://www.friendsofwill.org/endorsements/,,2021
Sery Kim,TX,Federal,U.S. House,U.S. House of Representatives,Congresswoman,TX-06,Legis,Lower,R,Open Seat,No,,,,,5/1/2021,Lost,46.70%,F,Korean,https://seryfortexas.com/,,2021
Michael Vo,CA,Local,County Board of Supervisors,Orange County Board of Supervisors,County Supervisor,District 2,,,,Open Seat,No,,,,,3/9/2021,Lost,9.00%,M,Vietnamese,https://www.voteformichaelvo.com/,,2021
Felicia Singh,NY,Local,City Council,New York City Council,Councilmember,District 32,Legis,,D,Open Seat,No,Eric Ulrich,R,6/22/2021,Won,11/3/2021,Lost,31.40%,F,Punjabi,https://www.felicia2021.com/,,2021
Julie Won,NY,Local,City Council,New York City Council,Councilmember,District 26,Legis,,D,Open Seat,No,Jimmy Van Bramer,D,6/22/2021,Won,11/3/2021,Won,77.20%,F,Korean,https://www.juliewon.com/,,2021
Linda Lee,NY,Local,City Council,New York City Council,Councilmember,District 23,Legis,,D,Open Seat,No,Barry Grodenchik,D,6/22/2021,Won,11/3/2021,Won,63.60%,F,Korean,https://lindaleefornyc.com/,,2021
Sandra Ung,NY,Local,City Council,New York City Council,Councilmember,District 20,Legis,,D,Open Seat,No,Peter Koo,D,6/22/2021,Won,11/3/2021,Won,59.50%,F,Chinese,https://sandrafornewyork.com/,,2021
Shahana Hanif,NY,Local,City Council,New York City Council,Councilmember,District 39,Legis,,D,Challenger,No,Brad Lander,D,6/22/2021,Won,11/3/2021,Won,89.30%,F,Bangladeshi,https://shahanafrombk.com/,,2021
Shekar Krishnan,NY,Local,City Council,New York City Council,Councilmember,District 25,Legis,,D,Open Seat,No,Danny Dromm,D,6/22/2021,Won,11/3/2021,Won,60.70%,M,Indian,https://twitter.com/shek_krishnan?lang=en,,2021
Soma Syed,NY,Local,,Queens Civil Court ,Judgeship,Queens,Judicial,,D,Open Seat,No,,,6/22/2021,Won,11/3/2021,Won,37.90%,F,Bangladeshi,https://www.soma4ny.com/,,2021
