Name,State,Level,Body Type,Body,Office,District / Area,Branch,Chamber,Party,Type,Inc Running,Incumbent,Inc. Party,Primary Date,Primary Result,General Date,General Result,General Vote %,Gender,Ethnicity,Website,Notes,Year
Kamala Harris,CA,Federal,Executive,,President,United States,Exec,,D,Challenger,Yes,Donald Trump,R,3/3/2020,Withdrew,11/3/2020,Not in General,,F,"Jamaican,Indian",,,2020
Preeti Panchal,MD,Federal,U.S. House,U.S. House,U.S. Representative,MD-06,Legis,Lower,D,Challenger,Yes,David Trone,D,4/28/2020,Withdrew,11/3/2020,Not in General,,F,,,,2020
Tulsi Gabbard,HI,Federal,U.S. House,U.S. House,U.S. Representative,HI-02,Legis,Lower,D,Incumbent,No,Tulsi Gabbard,D,,Withdrew,11/3/2020,Not in General,,F,Samoan,https://www.votetulsi.com/,,2020
Usha Reddi,KS,Federal,U.S. Senate,U.S. Senate,U.S. Senator,KS,Legis,Upper,D,Open Seat,No,Pat Roberts,R,8/4/2020,Withdrew,11/3/2020,Not in General,,F,Indian,https://ushareddi.com/about/,,2020
Vi Tran,WV,Federal,U.S. House,U.S. House,U.S. Representative,WV-01,Legis,Lower,D,Challenger,Yes,David McKinley,R,5/12/2020,Withdrew,11/3/2020,Not in General,,F,,https://www.vitranforcongress.com/,,2020
Donna Imam,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-31,Legis,Lower,D,Challenger,Yes,John Carter,R,3/3/2020,Runoff,11/3/2020,Lost,,F,Bangladeshi ,https://votefordonna.com/,,
Pritesh Gandhi,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-10,Legis,Lower,D,Challenger,Yes,Michael McCaul ,R,3/3/2020,Runoff,11/3/2020,Not in General,,M,Indian,https://www.gandhifortexas.com/,Lost in runoff on July 14,2020
Kiani Gardner,AL,Federal,U.S. House,U.S. House,U.S. Representative,AL-1,Legis,Lower,D,Open Seat,No,Bradley Byrne,R,3/3/2020,Runoff,11/3/2020,Not in General,,F,Hawaiian,https://kianigardner.com/,Lost runoff on July 14,2020
Alyse Galvin,AK,Federal,U.S. House,U.S. House,U.S. Representative,AK At-Large,Legis,Lower,I,Challenger,Yes,Don Young,R,8/18/2020,Won,11/3/2020,Lost,45.30%,F,,https://www.alyse4alaska.com/,,
Chirayu Avinash Patel,WA,Statewide,,Washington Executive Branch,Commissioner of Insurance,,Exec,,R,Challenger,Yes,Mike Kreidler,D,8/4/2020,Won,11/3/2020,Won,27.10%,M,,,,
