Name,State,Level,Body Type,Body,Office,District / Area,Branch,Chamber,Party,Type,Inc Running,Incumbent,Inc. Party,Primary Date,Primary Result,General Date,General Result,General Vote %,Gender,Ethnicity,Website,Notes,Year
Jennifer Gong-Gershowitz,IL,State,State House,Illinois House of Representatives,State Representative,District 17,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,62.60%,F,Chinese,,,
Joy San Buenaventura,HI,State,State Senate,Hawaii House of Representatives,State Senator,District 2,Legis,Lower,D,,,,,8/8/2020,Won,11/3/2020,Won,75.20%,F,Filipino,https://www.capitol.hawaii.gov/memberpage.aspx?member=Sanbuenaventura&year=2019,,2020
Kaohly Her,MN,State,State House,Minnesota House of Representatives,State Representative,HD-64A,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,85.70%,F,Hmong,,,
Kesha Ram,VT,State,State Senate,Vermont State Senate,State Senator,Chittenden District,Legis,Upper,D,Challenger,Yes,Philip Baruth; Virginia Lyons; Christopher Pearson; Michael Sirotkin,,8/11/2020,Won,11/3/2020,Won,11.80%,F,Indian,https://www.kesharam.com/,Youngest Indian American to ever serve in state elected office,2020
Khanh Pham,OR,State,State House,Oregon House of Representatives,State Representative,District 46,Legis,Lower,D,Open Seat,No,,,5/19/2020,Won,11/3/2020,Won,100.00%,F,Vietnamese,https://khanhphamfororegon.com/,,2020
Latha Mangipudi,NH,State,State House,New Hampshire State House,State Representative,Hillsborough 35,Legis,,D,Incumbent,,,,,Won,11/3/2020,Won,20.40%,F,,,,
Lauren Matsumoto,HI,State,State House,Hawaii House of Representatives,Representative,District 45,Legis,,R,Incumbent,Yes,Lauren Matsumoto,R,,Won,11/3/2020,Won,66.20%,F,,,,
Linda Ichiyama,HI,State,State House,Hawaii House of Representatives,Representative,District 32,Legis,,D,Incumbent,,,,,Won,11/3/2020,Won,100.00%,F,,,,
Lynn DeCoite,HI,State,State House,Hawaii House of Representatives,State Representative,District 13,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,68.30%,F,,,,
Maria Robinson,MA,State,State House,Massachusetts State House,State Representative,6th Middlesex District,Legis,,D,Incumbent,,,,,Won,11/3/2020,Won,100.00%,F,,,,
Micaela Lara Cadena,NM,State,State House,New Mexico House of Representatives,State Representative,District 33,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,62.40%,F,,,,
Michelle Au,GA,State,State Senate,Georgia State Senate,State Senator,District 48,Legis,Upper,D,,,,,6/9/2020,Won,11/3/2020,Won,56.20%,F,,,,
My-Linh Thai,WA,State,State House,Washington State House,State Representative,"District 41, Position 2",Legis,,D,Incumbent,Yes,My-Linh Thai,D,8/4/2020,Won,11/3/2020,Won,67.40%,F,,,,
Nadine Nakamura,HI,State,State House,Hawaii House of Representatives,State Representative,District 14,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,76.20%,F,,,,
Nima Kulkarni,KY,State,State House,Kentucky House of Representatives,State Representative,District 40,Legis,Lower,D,Incumbent,Yes,Nima Kulkarni,D,6/23/2020,Won,11/3/2020,Won,100.00%,F,Indian,https://www.votenima.com/,First Indian American elected as a state representative in Kentucky,2020
Patty Kim,PA,State,State House,Pennsylvania State House,State Representative,District 103,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,100.00%,F,,,,
Rady Mom,MA,State,State House,Massachusetts State House,State Representative,18th Middlesex District,Legis,,D,Incumbent,,,,,Won,11/3/2020,Won,100.00%,F,,,,
Rochelle Nguyen,NV,State,State Assembly,Nevada State Assembly,Assemblymember,AD-10,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,60.90%,F,Vietnamese,,,
Samantha Vang,MN,State,State House,Minnesota House of Representatives,State Representative,HD-40B,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,62.70%,F,Hmong,,,
Sarita Bhandarkar,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-99,Legis,,D,Challenger,Yes,Colin Schmitt,D,,Won,11/3/2020,Won,,F,Indian,,,
Sharon Har,HI,State,State House,Hawaii House of Representatives,Representative,District 42,Legis,,D,Incumbent,,,,,Won,11/3/2020,Won,78.70%,F,,,,
Sharon Tomiko Santos,WA,State,State House,Washington State House,State Representative,"District 37, Position 1",Legis,,D,Incumbent,Yes,Sharon Tomiko Santos,D,8/4/2020,Won,11/3/2020,Won,82.00%,F,,,,
Sonia Chang-Diaz,MA,State,State Senate,Massachusetts State Senate,State Senator,2nd Suffolk District,Legis,,D,Incumbent,,,,,Won,11/3/2020,Won,100.00%,F,,,,
Stacelynn Kehaulani Eli ,HI,State,State House,Hawaii House of Representatives,State Representative,District 43,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,48.90%,F,,,,
Sue Chew,ID,State,State House,Idaho House of Representatives,State Representative,HD-17B,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,66.00%,F,,,,
Sylvia Luke,HI,State,State House,Hawaii House of Representatives ,State Representative,District 25,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,100.00%,F,,,,
Tackey Chan,MA,State,State House,Massachusetts State House,State Representative,2nd Norfolk District,Legis,,D,Incumbent,,,,,Won,11/3/2020,Won,100.00%,F,,,,
Theresa Mah,IL,State,State House,Illinois House of Representatives,State Representative,District 2,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Won,67.30%,F,Chinese,,,
Tram Nguyen,MA,State,State House,Massachusetts State House,State Representative,18th Essex District,Legis,,D,Incumbent,,,,,Won,11/3/2020,Won,61.90%,F,,,,
Val Okimoto,HI,State,State House,Hawaii House of Representatives,Representative,District 36,Legis,,R,Incumbent,Yes,Val Okimoto,R,,Won,11/3/2020,Won,52.30%,F,,,,
Vandana Slatter,WA,State,State House,Washington House of Representatives,State Representative,District 48,Legis,Lower,D,Incumbent,Yes,Vandana Slatter,D,8/4/2020,Won,11/3/2020,Won,72.10%,F,Indian,https://vandanaslatter.com/,,2020
Vanna Howard,MA,State,State House,Massachusetts State House,State Representative,17th Middlesex district,Legis,,D,,,,,9/1/2020,Won,11/3/2020,Won,43.80%,F,Cambodian,,,
Yuh-Line Niou,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-65,Legis,Lower,D,Incumbent,Yes,Yuh-Line Niou,D,6/23/2020,Won,11/3/2020,Won,100.00%,F,Taiwanese,https://www.nioufornewyork.com/,,2020
Cal Mukumoto,OR,State,State House,Oregon House of Representatives,State Representative,District 9,Legis,,D,Open Seat,No,,,,Won,11/3/2020,Lost,42.40%,M,,,,
Chris Chyung,IN,State,State House,Indiana House of Representatives,State Representative,District 15,Legis,,D,Incumbent,Yes,Chris Chyung,D,6/2/2020,Won,11/3/2020,Lost,48.50%,M,Korean,,,
Daniel Dong,NH,State,State House,New Hampshire State House,State Representative,Bedford,Legis,Lower,D,,,,,9/8/2020,Won,11/3/2020,Lost,7.70%,M,,https://www.danieldongforbedford.com/,Youngest Candidate (18) to run for office in NH,2020
Dean Tran,MA,State,State Senate,Massachusetts State Senate,State Senator,Worcester and Middlesex District,Legis,,R,Incumbent,,,,,Won,11/3/2020,Lost,49.00%,M,,,,
Desmon Haumea,HI,State,State House,Hawaii House of Representatives,State Representative,District 4,Legis,,I,Challenger,Yes,Mark Nakashima,D,,Won,11/3/2020,Lost,12.40%,M,Hawaiian,,,
Garry Guan,GA,State,State Senate,Georgia State Senate,State Senator,District 40,Legis,,R,Challenger,Yes,Sally Harrell,D,,Won,11/3/2020,Lost,39.50%,M,Chinese,,,
Godfrey Plata,CA,State,California State Assembly,State House ,Assemblymember ,CA-53,Legis,Lower,D,Challenger,Yes,Miguel Santiago ,D,3/3/2020,Won,11/3/2020,Lost,43.60%,M,Filipino,https://www.godfreyforassembly.com/,,2020
Imtiaz Ahmad Mohammad,FL,State,State House,Florida State House,State Representative,HD-97,Legis,Lower,D,Challenger,Yes,Jared Evan Moskowitz,D,8/25/2020,Won,11/3/2020,Lost,34.70%,M,,,,2020
Jae Chin,AZ,State,State Senate,Arizona State Senate,State Senator,District 26,Legis,,R,Challenger,Yes,Juan Mendez,D,8/4/2020,Won,11/3/2020,Lost,31.80%,M,,,,
Jay Lin,GA,State,State House,Georgia State House,State Representative ,District 50,Legis,,R,Challenger,Yes,Angelika Kausche,D,,Won,11/3/2020,Lost,47.20%,M,Chinese,,,
Jay Walker,PA,State,State House,Pennsylvania State House,State Representative,District 23,Legis,,G,Challenger,Yes,Dan Frankel,D,,Won,11/3/2020,Lost,14.70%,M,Chinese,jaytingwalker.com/,,
Jeff Jiang,MN,State,State Senate,Minnesota State Senate,State Senator,District 48,Legis,,R,Challenger,Yes,Steve Cwodzinski ,D,,Won,11/3/2020,Lost,41.80%,M,Chinese,,,
Justin Hwang,OR,State,State Senate,Oregon State Senate,State Senator,District 25,Legis,,R,Open Seat,No,,,,Won,11/3/2020,Lost,,M,Korean,,,
Kanamu Balinbin,HI,State,State House,Hawaii House of Representatives,State Representative,District 10,Legis,,R,Challenger,Yes,Angus McKelvey,D,,Won,11/3/2020,Lost,32.90%,M,Filipino,,,
Kilomana Michael Danner,HI,State,State House,Hawaii House of Representatives,Representative,District 49,Legis,,R,Challenger,Yes,Scot Matayoshi,D,,Won,11/3/2020,Lost,22.80%,M,,,,
Mazhil Rajendran,AR,State,State House,Arkansas House of Representatives,State Representative,District 31,Legis,Lower,D,Open Seat,No,Andy Davis,R,,Won,11/3/2020,Lost,30.30%,M,Indian,https://www.mazhilrajendran.com/,,2020
Peter Ohtaki,CA,State,State Assembly,California State Assembly,Assemblymember,District 24,Legis,,R,Challenger,Yes,Marc Berman,D,3/3/2020,Won,11/3/2020,Lost,24.20%,M,,https://www.peterohtaki.com/,,2020
Shomir Banerjee,CA,State,State Assembly,California State Assembly,Assemblymember,District 29,Legis,Lower,R,Challenger,Yes,Mark Stone,D,3/3/2020,Won,11/3/2020,Lost,24.60%,M,,http://www.sb4assembly.org/,,2020
Steve Lee,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-40,Legis,,I,Challenger,Yes,Ron Kim,D,,Won,11/3/2020,Lost,16.60%,M,,,,
Tab Uno,UT,State,State House,Utah House of Representatives ,State Representative ,HD-13,Legis,Lower,D,Challenger,Yes,Paul Ray,R,6/23/2020,Won,11/3/2020,Lost,38.30%,M,,https://www.tablynunoforutahhouse.com/,,2020
Christy Kajiwara-Gusman,HI,State,State Senate,Hawaii State Senate,State Senator,District 5,Legis,,R,Challenger,Yes,,,,Won,11/3/2020,Lost,30.90%,F,,,,
Diane Nguyen,MN,State,State Senate,Minnesota State Senate,State Senator,District 30,Legis,,D,Challenger,Yes,Mary Kiffmeyer,R,,Won,11/3/2020,Lost,32.30%,F,Vietnamese,https://dianeforstatesenate.com/about-diane/,,
Diedre Thu-Ha Nguyen,CA,State,California State Assembly,State House,Assemblymember,HD-72,Legis,Lower,D,Challenger,Yes,Tyler Diep,R,3/3/2020,Won,11/3/2020,Lost,46.00%,F,Vietnamese,https://diedrenguyen.com/,,2020
Jackie Leung,OR,State,State House,Oregon House of Representatives,State Representative,District 19,Legis,Lower,D,Challenger,Yes,Raquel Moore-Green,R,5/19/2020,Won,11/3/2020,Lost,45.30%,F,,https://jackiefororegon.org/,,2020
June Cutter,CA,State,California State Assembly,California State Assembly,Assemblymember,HD-77,Legis,Lower,R,Challenger,Yes,Brian Maienschein ,D,3/3/2020,Won,11/3/2020,Lost,42.20%,F,Korean,https://www.junecutter.com/,,2020
Kahala Jen Chrupalyk,HI,State,State House,Hawaii House of Representatives,State Representative,District 9,Legis,,I,Challenger,Yes,Justin Woodson,D,,Won,11/3/2020,Lost,16.50%,F,Hawaiian,,,
Ling Ling Chang,CA,State,State Senate,California State Senate,State Senator,District 29,Legis,,R,Incumbent,Yes,Ling Ling Chang,R,,Won,11/3/2020,Lost,48.70%,F,Taiwanese,,,
Lorraine Pualani Shin,HI,State,State House,Hawaii House of Representatives,Representative,District 1,Legis,,R,Challenger,Yes,Mark Nakashima,D,,Won,11/3/2020,Lost,28.30%,F,,,,
Radhika Kunnel,NV,State,State Assembly,Nevada State Assembly,Assemblymember,AD-2,Legis,Lower,D,Open Seat,No,John Hambrick,R,6/9/2020,Won,11/3/2020,Lost,44.30%,F,Indian,https://www.kunnel4nv.com/,First South Asian Immigrant to win a primary in Nevada,2020
Rida Cabanilla,HI,State,State Senate,Hawaii State Senate,State Senator,District 19,Legis,,D,Challenger,Yes,,,,Won,11/3/2020,Lost,41.70%,F,,,,
Rose Martinez,HI,State,State House,Hawaii House of Representatives ,State Representative,District 40,Legis,,D,Incumbent,Yes,,,,Won,11/3/2020,Lost,42.00%,F,,,,
Yara Zokaie,CO,State,State House,Colorado House of Representatives,State Representative,District 49,Legis,,D,Open Seat,No,Perry Buck,R,6/30/2020,Won,11/3/2020,Lost,39.70%,F,Iranian ,https://www.yaraforcolorado.com/,,
Yesoe Yoon,IL,State,State House,Illinois House of Representatives,State Representative,District 17,Legis,,R,Challenger,Yes,Jennifer Gong-Gershowitz,D,,Won,11/3/2020,Lost,34.70%,F,Korean,,,
Rui Xu,KS,State,State House,Kansas House of Representatives,State Representative,HD-05,Legis,Lower,D,Incumbent,Yes,Rui Xu,D,8/4/2020,Unopposed,11/3/2020,Won,,M,Chinese,https://www.ruixuforkansas.com/,,2020
Zohran Kwame Mamdani,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-36,Legis,,D,Open Seat,No,,,,Unopposed,11/3/2020,Won,,M,,,,
Mia Gregerson,WA,State,State House,Washington House of Representatives,State Representative,LD-33,Legis,Lower,D,Incumbent,Yes,Mia Gregerson,D,8/4/2020,Unopposed,11/3/2020,Won,,F,,https://housedemocrats.wa.gov/gregerson/,,2020
Padma Kuppa,MI,State,State House,Michigan House of Representatives,State Representative,HD-41,Legis,Lower,D,Incumbent,Yes,Padma Kuppa,D,8/4/2020,Unopposed,11/3/2020,Won,,F,,https://act.myngp.com/FORMS/7275765585008331776,,2020
Anthony Lo,TX,State,State House,Texas House of Representatives,State Representative,HD-67,Legis,Lower,D,Challenger,Yes,Jeff Leach,R,3/3/2020,Lost,11/3/2020,Not in General,,M,,https://votelo4texas.com/,,2020
Dinesh Singhal,TX,State,State Court of Appeals,Texas 1st Court of Appeals ,Justice ,Place 3 ,Judicial,,D,Challenger,Yes,Justice Russell Lloyd ,R,3/3/2020,Lost,11/3/2020,Not in General,,M,Indian,https://singhalforjustice.com/,,2020
Hoang Murphy,MN,State,State House,Minnesota House of Representatives,State Representative,HD-67A,Legis,Lower,,Open Seat,No,Tim Mahoney,D,8/11/2020,Lost,11/3/2020,Not in General,,M,Vietnamese,https://hoangmurphy.org/,,
Hop Nguyen,AZ,State,State Senate,Arizona State Senate,State Senator,District 22,Legis,,R,Challenger,Yes,David Livingston,R,8/4/2020,Lost,11/3/2020,Not in General,,M,Vietnamese,,,
Joy Chowdhury,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-34,Legis,Lower,D,Challenger,Yes,Michael DenDekker,D,6/23/2020,Lost,11/3/2020,Not in General,,M,Bengali,https://www.joyfornys.com/,,2020
Mahfuzul Islam,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-24,Legis,Lower,D,Challenger,Yes,David Weprin,D,6/23/2020,Lost,11/3/2020,Not in General,,M,Bengali,https://www.mahfuzulfor24.com/,,2020
Ravi Sangisetty ,LA,State,State House,Louisiana House of Representatives,State Representative,LA-98,Legis,Lower,D,Open Seat,No,Neil Abramson,D,10/12/2019,Lost,11/3/2020,Not in General,,M,Indian,https://www.sangisetty.com/,,2020
Romy Cachola,HI,State,State House,Hawaii House of Representatives,State Representative,District 30,Legis,,D,Incumbent,Yes,,,,Lost,11/3/2020,Not in General,,M,Filipino,,,
Ron Falconi,OH,State,State Senate,Ohio State Senate,State Senator,SD-22,Legis,Upper,R,Open Seat,No,Larry Obhof,R,3/17/2020,Lost,11/3/2020,Not in General,,M,Filipino,,,2020
Steve Lee,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-40,Legis,Lower,D,Challenger,Yes,Ron Kim,D,6/23/2020,Lost,11/3/2020,Not in General,,M,Chinese,https://stevefornewyork.com/,,2020
Suleman Lalani,TX,State,State House,Texas House of Representatives,State Representative,HD-26,Legis,Lower,D,Open Seat,No,Rick Miller,R,3/3/2020,Lost,11/3/2020,Not in General,,M,,https://www.facebook.com/LalaniTX26/,,2020
Tyler Diep,CA,State,California State Assembly,State House,Assemblymember,HD-72,Legis,Lower,R,Incumbent,Yes,Tyler Diep,R,3/3/2020,Lost,11/3/2020,Not in General,,M,Vietnamese,https://www.tylerdiep.com/,,2020
Grace Lee,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-65,Legis,Lower,D,Challenger,Yes,Yuh-Line Niou,D,6/23/2020,Lost,11/3/2020,Not in General,,F,Korean,https://www.graceleeforassembly.com/,,2020
Lourdes Everett,CA,State,State Assembly,California State Assembly,Assemblymember,District 36,Legis,,D,Challenger,Yes,Tom Lackey,R,3/3/2020,Lost,11/3/2020,Not in General,,F,Filipinx,,,
Mary Jobaida,NY,State,State Assembly,New York State Assembly,Assemblymember,AD-37,Legis,Lower,D,Challenger,Yes,Catherine Nolan,D,6/23/2020,Lost,11/3/2020,Not in General,,F,Bengali,https://www.maryforassembly.com/,,2020
Mike Fong,CA,State,California State Assembly,State House,Assemblymember,CA-49,Legis,Lower,,Challenger,?,Edwin Chau,D,,,11/8/2022,Not in General,,,,,,
QINGLAN JIANG,CA,Local,School District,WALNUT VALLEY UNIFIED SCHOOL DISTRICT,Board Member,,Legis,,N,,,,,,,,,20.90%,,,,,
Eric Ching,CA,Local,City Council,Walnut City Council,Councilmember,,Legis,,N,,,,,,,,Won,19.20%,M,,,,
Eric Wang,CA,Local,City Council,Walnut City Council,Councilmember,,Legis,,N,,,,,,,,Lost,13.00%,M,,,,
Phoukham Kelly Bounkeua,WA,Local,,Precinct Committee Officer - Democratic,,,,,D,,,,,,,,,,F,Lao,,,
Seema Kazmi,PA,Local,,Delegate to DNC Convention,,1st Congressional District Bucks County,,,D,,,,,,,,,,F,Indian,,,
Greg Tanaka,CA,Local,City Council,Palo Alto,Councilmember ,,Legis,,,Incumbent,Yes,,,,,11/3/2020,Won,,M,Japanese,gregtanaka.org,,2020
Jenny Lam,CA,Local,Board of Education,San Francisco Unified School Board of Education,Board member,San Francisco Unified School District,,,N,Incumbent,,,,,Won,11/3/2020,Won,17.00%,F,Chinese,https://www.jennylam.org/meet-jenny,,2020
Max Shih Tse Chang,UT,Local,School District,Granite District School Board,Board member,Seat 1,Legis,,,,,,,6/30/2020,Won,11/3/2020,Lost,42.40%,M,Taiwanese,,,
Phil Chang,OR,Local,County Board of Commissioners,Deschutes County Commission,Deschutes County Commissioner,,Legis,,D,Challenger,Yes,Phil Henderson,R,5/19/2020,Won,,Won,54.00%,M,Chinese,https://votephilchang.com/,,
Catherine Kuo,CA,Local,Board of Trustees,Dublin Unified School District Board of Trustees,Board Member,Area 3,,,,Incumbent,,,,,Won,11/3/2020,,,F,,,,
Lee Lor,CA,Local,County Board of Supervisors,Merced County Board of Supervisors,Supervisor,District 2,Legis,,D,Incumbent,Yes,Lee Lor,D,3/3/2020,Won,11/3/2020,,,F,Hmong,https://www.leelordistrict2.com/,,2020
Linh Song,MI,Local,City Council,Ann Arbor City Council,Councilmember,Ward 2,Legis,,D,Challenger,Yes,Jane Lumm,D,8/4/2020,Won,11/3/2020,,,F,"Vietnamese,Laotian",https://songfora2.com/,,2020
Soonhee Bailey,CA,Local,District Court,Eighth Judicial District Court,Judge,,Judicial,,,,,,,6/9/2020,Won,11/3/2020,,,F,Korean,https://www.sunnybailey.com/,,
Aftab Pureval,OH,Local,Clerk of Courts,Hamilton County Clerk of Courts,Judge,,Judicial,,D,Incumbent,Yes,Aftab Pureval,D,3/17/2020,Won,11/3/2020,Won,57.10%,M,,https://voteaftab.com/,,2020
Andrew Do,CA,Local,County Board of Supervisors,Orange County Board of Supervisors,Supervisor,District 1,Legis,,R,Incumbent,Yes,Andrew Do,R,3/3/2020,Won,11/3/2020,Won,51.90%,M,Vietnamese,http://voteandrewdo.com/,,2020
Chander Jayaraman,DC,Local,City Council,Council of the District of Columbia,Councilmember,At-Large,Legis,,I,Open Seat,No,David Grosso,I,6/2/2020,Won,11/3/2020,Won,14.80%,M,Indian,https://chander2020.com/,,2020
Curtis Kin,CA,Local,Superior Court,Los Angeles County Superior Court,Judge,,Judicial,,R,Incumbent,Yes,Curtis Kin,R,3/3/2020,Won,11/3/2020,Won,100.00%,M,Chinese,,,
Otto Lee,CA,Local,County Council,Santa Clara County Board of Supervisors,Supervisor,AD-3,Legis,,N,Open Seat,No,Dave Cortese,N,3/3/2020,Won,11/3/2020,Won,60.20%,M,Chinese,https://www.ottolee.org/,,2020
Bita Yeager,NV,Local,District Court,Nevada District Court,Judge,Dept 1,Judicial,,,,,,,,Won,11/3/2020,Won,,F,,,Alum of Las Vegas program,
Holly J. Fujie,CA,Local,Superior Court,Los Angeles County Superior Court,Judge,,Judicial,,,Incumbent,,,,3/3/2020,Won,11/3/2020,Won,100.00%,F,Japanese,,,
Lakshmi Kode Sammarco,OH,Local,City Council,Hamilton County Council,Coroner,,Legis,,D,Incumbent,Yes,Lakshmi Kode Sammarco,D,3/17/2020,Won,,Won,100.00%,F,,http://sammarco4coroner.com/,,2020
Lori Stegmann,OR,Local,County Board of Commissioners, Multnomah County Board of County Commissioners,Multnomah County Commissioner,,Legis,,,Incumbent,Yes,Lori Stegmann,,,Won,,Won,97.90%,F,,,2018 Election not listed,2018
Mai Xiong,MI,Local,County Board of Commissioners,Macomb County Commissioner,County Commissioner,District 2,Legis,,D,Challenger,Yes,Marvin Sauger,D,8/4/2020,Won,11/3/2020,Won,,F,Hmong,https://www.voteformai.com/,First ever Hmong American to be elected in Michigan,2020
Maimona Afzal Berta,CA,Local,Board of Education,Franklin-McKinley Board of Education,Trustee,,Legis,,,Incumbent,Yes,Maimona Afzal Berta,,3/3/2020,Won,11/3/2020,Won,66.90%,F,"Pakistani,Kashmiri",https://www.votemaimona.com/,,2020
Michelle Tong,CA,Local,Superior Court,San Francisco Superior Court,Judge,,Judicial,,,,,,N,3/3/2020,Won,11/3/2020,Won,57.10%,F,Chinese,http://www.tong4judge.com/,,2020
Nithya Raman,CA,Local,City Council,Los Angeles City Council,Councilmember,District 4,Legis,,N,Challenger,Yes,David Ryu,N,3/3/2020,Won,11/3/2020,Won,52.70%,F,Indian,https://www.nithyaforthecity.com/,,2020
Suely Saro,CA,Local,County Council,Long Beach City Council,Councilmember,,Legis,,N,Challenger,Yes,Dee Andrews,N,3/3/2020,Won,11/3/2020,Won,60.00%,F,Cambodian,https://www.suelysaro.com/,,2020
Theresa Bui Creevy,TX,Local,District Court,Texas 416th District Court,Judge,,Judicial,,D,?,?,,,3/3/2020,Won,11/3/2020,Won,42.60%,F,Vietnamese,,,
David Ryu,CA,Local,City Council,Los Angeles City Council,Councilmember,District 4,Legis,,N,Incumbent,Yes,David Ryu,N,3/3/2020,Won,11/3/2020,Lost,47.30%,M,Korean,,,2020
Kansen Chu,CA,Local,County Board of Supervisors,Santa Clara County Board of Supervisors, Supervisor ,District 3,Legis,,D,Open Seat,No,Dave Cortese ,D,3/3/2020,Won,11/3/2020,Lost,39.80%,M,,https://www.chuforsupervisor.com/?fbclid=IwAR1AM7FCLaSaHMOsYhDDTvCjehp05zmz8AeZVyurzfcRNGSVCFfzndnWreQ,,2020
Grace Yoo ,CA,Local,County Council,Los Angeles City Council ,Councilmember,District 10,Legis,,N,Challenger,Yes,Herb Wesson ,D,3/3/2020,Won,11/3/2020,Lost,38.70%,F,,https://www.graceyoocd10.com/,,2020
Fanny Fang,KS,Local,County Board of Commissioners,Riley Country Commission,County Commissioner,District 2 ,Legis,,,Challenger,,,,,Won,11/3/2020,Not in General,,F,,https://m.facebook.com/fangforriley,,
Lisa Motoyama,CA,Local,City Council,El Cerrito City Council,Councilmember,,Legis,,D,Open Seat,,,,,Lost,,,,F,,,,
Isaac Wang,CA,Local,City Council,San Diego City Council,Councilmember,District 5,Legis,,D,?,?,,,,Lost,11/3/2020,Not in General,,M,Chinese,,,
Jay Fathi ,WA,Local,City Council,Seattle City Council ,Councilmember,District 6,Legis,,N,Open Seat,No,,,8/6/2019,Lost,,Not in General,,M,Iranian ,https://jayforseattle.com/,,2020
Kishan Putta,DC,Local,City Council,Council of the District of Columbia,Councilmember,Ward 2,Legis,,D,Open Seat,No,Jack Evans,D,6/16/2020,Lost,,Not in General,,M,Indian,https://kishanfordc.com/about-kishan/,,2020
Nitin Naidu ,MI,Local,City Council,Berkley City Council,Councilmember,,Legis,,,Challenger,,,,11/5/2019,Lost,,Not in General,,M,Indian,https://www.facebook.com/NaiduForBerkley/,,2020
Dorothy Chou Proudfoot,CA,Local,Superior Court,San Francisco Superior Court,Judge,Seat 18,Judicial,,N,?,?,,,3/3/2020,Lost,,Not in General,,F,Chinese,,,
Jennifer Tang ,CA,Local,City Council,City of Monterey Park City Council ,Councilmember ,District 2 ,Legis,,,,,,,3/3/2020,Lost,,Not in General,,F,,,,2020
Kim Nguyen,CA,Local,County Board of Supervisors,Orange County Board of Supervisors,Supervisor,District 1,Legis,,D,Challenger,Yes,Andrew Do,R,3/3/2020,Lost,11/3/2020,Not in General,,F,Vietnamese,https://www.votekimnguyen.com/,,2020
Manisha Bewtra,MA,Local,City Council,Melrose City Council,Mayor,,Legis,,D,Open Seat,No,Gail M. Infurna,D,9/17/2019,Lost,,Not in General,,F,Indian,https://www.manishaformelrose.com/,,2020
"Maricar ""Rica"" Andrade",NV,Local,District Court,Nevada 8th Judicial District Court Family Division,Judge,Department Y,Judicial,,D,Open Seat,No,,,6/9/2020,Lost,11/3/2020,Not in General,,F,Filipino,,,
Yilin Zhang,DC,Local,City Council,Council of the District of Columbia,Councilmember,Ward 2,Legis,,D,Open Seat,No,Jack Evans,D,6/16/2020,Lost,,Not in General,,F,Chinese,https://www.yilinforward2.com/,,2020
Chanda Choun,VA,Local,County Council,Arlington County Board,Councilmember,,Legis,,D,Challenger,Yes,Libby Garvey,D,7/9/2020,Withdrew,11/3/2020,Not in General,,M,Cambodian,https://chandachoun.com/,,2020
Ilryong Moon,VA,Local,School District,Fairfax County School Board At-Large,Board Member,At-Large,,,I,Incumbent,Yes,Ilryong Moon,I,,Withdrew,,Not in General,,M,Korean,http://www.moon4schools.com/,,2020
Arun Goel,CA,Local,City Council,Dublin City Council,Mayor,,Legis,,,,,,,,n/a,11/3/2020,Lost,38.00%,M,,https://www.arungoelformayor.com/,,
David Lee,CA,Local,County Board of Supervisors,San Francisco Board of Supervisors,Supervisor,District 1,Exec,,N,?,?,,,,n/a,11/3/2020,Lost,,M,,,,
Dinesh Govindarao,CA,Local,City Council,San Ramon City Council,Mayor,,Legis,,,,No,Bill Clarkson,,,n/a,11/3/2020,Lost,15.00%,M,,,,
Govind Tatachari,CA,Local,Board of Education,Foothill-De Anza Community College District Board of Trustees,Board Member,,Legis,,,Challenger,Yes,"Peter Landsberger, Laura Casas, Gilbert Wong",,,n/a,11/3/2020,Lost,14.00%,M,Indian,https://govind4fhda.com/,,2020
Han Zou,CA,Local,City College Board,City College of San Francisco,Trustee,,,,,,,,,,n/a,11/3/2020,Lost,6.90%,M,Chinese,https://www.hanforsf.com/,,2020
Alan Wong,CA,Local,City College Board,City College of San Francisco,Trustee,,,,,,,,,,n/a,11/3/2020,Won,11.40%,M,Chinese,https://www.votealanwong.com/,,
Harbir Bhatia,CA,Local,City Council,Santa Clara City Council,Councilmember,District 1,Legis,,N,Challenger,Yes,Kathy Watanabe,N,,n/a,11/3/2020,Lost,,F,,,,
